Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,
276,Fairleigh Dickinson,NEC,1-5,-9.23,99.1,108.4,72.5,,,,,
173,FIU,CUSA,5-1,-1.29,101.6,102.9,74,,,,,
24,Florida,SEC,3-1,19.58,109.5,89.9,72.1,,,,,
304,Florida A&M,MEAC,1-4,-11.07,91.9,103,70.5,,,,,
214,Florida Atlantic,CUSA,4-3,-4.83,96,100.9,68.9,,,,,
246,Florida Gulf Coast,ASun,3-2,-6.98,94.9,101.9,69.5,,,,,
14,Florida St.,ACC,4-0,21.44,110.2,88.8,70.6,,,,,
186,Fordham,A10,0-0,-2.12,92.2,94.3,68.4,,,,,
150,Fresno St.,MWC,1-0,0.67,99.9,99.3,68.7,,,,,
66,Furman,SC,5-2,12.4,108.6,96.2,69.9,,,,,
233,Gardner Webb,BSth,0-3,-6.12,96.3,102.5,71.4,,,,,
121,George Mason,A10,2-1,4.65,103,98.3,68.8,,,,,
240,George Washington,A10,1-5,-6.49,98.2,104.7,72.4,,,,,
95,Georgetown,BE,3-3,7.4,104,96.6,72.5,,,,,
94,Georgia,SEC,5-0,7.67,103.4,95.7,74,,,,,
232,Georgia Southern,SB,4-2,-6.07,96.7,102.8,71.2,,,,,
107,Georgia St.,SB,4-1,6.08,105.6,99.5,73.8,,,,,
71,Georgia Tech,ACC,2-3,11.08,106.3,95.2,69.1,,,,,
1,Gonzaga,WCC,3-0,29.29,118,88.7,75.5,,,,,
315,Grambling St.,SWAC,2-3,-12.54,89.6,102.1,72.4,,,,,
143,Grand Canyon,WAC,4-1,1.75,100.8,99.1,68.4,,,,,
273,Green Bay,Horz,0-4,-8.9,98.8,107.7,72.2,,,,,
339,Hampton,BSth,1-3,-17.46,91.3,108.7,73.9,,,,,
268,Hartford,AE,3-2,-8.74,94.9,103.6,69.7,,,,,
151,Harvard,Ivy,0-0,0.56,100.3,99.8,70.8,,,,,
234,Hawaii,BW,1-0,-6.12,95.8,101.9,71.1,,,,,
283,High Point,BSth,1-4,-9.75,96.1,105.8,71.5,,,,,
153,Hofstra,CAA,3-2,0.17,101.6,101.5,71.3,,,,,
346,Holy Cross,Pat,0-0,-19.73,89.9,109.7,71,,,,,
13,Houston,Amer,4-0,21.86,111.5,89.7,68.8,,,,,
349,Houston Baptist,Slnd,1-5,-20.75,92.9,113.7,75,,,,,
321,Howard,MEAC,0-4,-13.22,96.9,110.2,71.1,,,,,
338,Idaho,BSky,0-4,-17.34,90.6,107.9,70.2,,,,,
313,Idaho St.,BSky,0-4,-12.34,94.4,106.7,68.3,,,,,
10,Illinois,B10,5-2,22.05,112,90,73.6,,,,,
216,Illinois Chicago,Horz,3-2,-5.02,94.9,99.9,69.8,,,,,
225,Illinois St.,MVC,3-3,-5.81,96.5,102.3,73.2,,,,,
345,Incarnate Word,Slnd,1-3,-19.23,90.9,110.2,69.6,,,,,
16,Indiana,B10,4-2,20.69,108.3,87.6,70,,,,,
141,Indiana St.,MVC,1-2,1.84,102.7,100.8,70.3,,,,,
250,Iona,MAAC,2-3,-7.49,96.7,104.2,70.4,,,,,
4,Iowa,B10,6-0,24.41,119,94.6,74.1,,,,,
89,Iowa St.,B12,1-3,8.46,106.6,98.1,71.2,,,,,
261,IUPUI,Horz,1-0,-8.29,97.8,106.1,73.7,,,,,
319,Jackson St.,SWAC,0-3,-13.02,89.4,102.5,72.2,,,,,
307,Jacksonville,ASun,6-2,-11.22,92.3,103.5,70.6,,,,,
239,Jacksonville St.,OVC,5-2,-6.44,95.1,101.5,68.9,,,,,
278,James Madison,CAA,2-1,-9.3,97.4,106.7,72.4,,,,,
9,Kansas,B12,6-1,22.49,109.7,87.2,72.7,,,,,
146,Kansas St.,B12,3-4,1.36,99.8,98.4,66.4,,,,,
350,Kennesaw St.,ASun,3-3,-21.29,85.5,106.7,69.6,,,,,
142,Kent St.,MAC,3-1,1.81,102.1,100.3,71.9,,,,,
42,Kentucky,SEC,1-4,16.9,106.5,89.6,70.6,,,,,
176,La Salle,A10,2-4,-1.58,96.6,98.2,69.2,,,,,
227,Lafayette,Pat,0-0,-5.84,99.4,105.3,70.5,,,,,
289,Lamar,Slnd,1-5,-10.03,91.4,101.5,72.2,,,,,
294,Lehigh,Pat,0-0,-10.51,95.8,106.4,71.6,,,,,
114,Liberty,ASun,7-3,5.35,103.4,98.1,65.1,,,,,
217,Lipscomb,ASun,3-5,-5.04,100.3,105.4,68.2,,,,,
138,Little Rock,SB,3-2,2.18,102.8,100.6,70.8,,,,,
252,LIU,NEC,1-0,-7.65,94,101.6,74.4,,,,,
253,Long Beach St.,BW,1-2,-7.68,96.3,104,74.7,,,,,
318,Longwood,BSth,1-5,-12.83,90.9,103.7,69.7,,,,,
165,Louisiana,SB,5-1,-0.71,98,98.7,75.4,,,,,
277,Louisiana Monroe,SB,2-3,-9.26,94.5,103.7,67.6,,,,,
125,Louisiana Tech,CUSA,5-2,4.24,102.3,98.1,71,,,,,
22,Louisville,ACC,4-0,19.87,109.9,90,69,,,,,
56,Loyola Chicago,MVC,3-1,14.98,106.9,91.9,69.2,,,,,
136,Loyola Marymount,WCC,3-3,2.44,103.1,100.6,70.4,,,,,
249,Loyola MD,Pat,0-0,-7.37,97.3,104.6,72.7,,,,,
31,LSU,SEC,4-1,18.29,114.5,96.2,71.7,,,,,
347,Maine,AE,0-0,-20.37,86.2,106.6,68.9,,,,,
