Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
284,High Point,BSth,1-4,-9.69,95.9,105.6,71.4
285,San Jose St.,MWC,1-2,-9.76,95.8,105.5,75.2
286,Weber St.,BSky,2-1,-9.78,93.3,103.1,70.6
287,UMKC,Sum,2-4,-9.83,94.3,104.1,67.1
288,Wagner,NEC,0-1,-9.87,93.8,103.7,69.7
289,Oakland,Horz,0-7,-10.06,96.6,106.7,72.6
290,Charleston Southern,BSth,1-3,-10.23,92.7,102.9,71
291,Tennessee St.,OVC,0-2,-10.27,91.8,102,73.2
292,Troy,SB,3-3,-10.37,92.5,102.9,68.8
293,Lehigh,Pat,0-0,-10.51,95.7,106.2,71.7
294,Morehead St.,OVC,4-4,-10.52,93.8,104.3,67.9
295,Seattle,WAC,4-4,-10.53,93.3,103.8,70.4
296,Northern Illinois,MAC,0-5,-10.68,93.7,104.4,67.3
297,North Florida,ASun,1-7,-10.68,98.9,109.6,70.1
298,Albany,AE,0-0,-10.71,92.8,103.5,70.6
299,Utah Valley,WAC,2-3,-10.74,94.6,105.3,73.2
300,Merrimack,NEC,0-0,-10.99,91,102,67.6
301,Manhattan,MAAC,1-1,-11,92.3,103.3,69.7
302,Portland St.,BSky,1-2,-11.09,96.2,107.3,74.9
303,Jacksonville,ASun,6-2,-11.21,92.1,103.3,70.7
304,St. Francis NY,NEC,1-1,-11.27,94.6,105.9,74.2
305,Radford,BSth,2-4,-11.58,93.5,105.1,66.3
306,Prairie View A&M,SWAC,1-2,-11.58,91.6,103.2,70.1
307,Sam Houston St.,Slnd,3-4,-11.73,94.5,106.2,73.6
308,Southern Miss,CUSA,1-3,-11.79,91.9,103.7,69.1
309,Dixie St.,WAC,3-0,-12.04,93.4,105.4,73.1
310,Fairfield,MAAC,1-5,-12.18,87.4,99.6,69.1
311,Jackson St.,SWAC,0-2,-12.28,89.8,102.1,71.5
312,Texas A&M Corpus Chris,Slnd,1-5,-12.29,92.6,104.9,70.7
313,Idaho St.,BSky,0-4,-12.3,94.3,106.6,68.5
314,Longwood,BSth,1-4,-12.37,91.5,103.9,69.9
315,USC Upstate,BSth,0-6,-12.39,96.5,108.9,73.5
316,Evansville,MVC,1-3,-12.39,92,104.4,66
317,North Carolina A&T,MEAC,2-7,-12.49,92.6,105.1,72.4
318,Florida A&M,MEAC,0-4,-12.51,90.8,103.3,70.8
319,Tennessee Tech,OVC,0-6,-12.63,90.5,103.1,69.9
320,Sacred Heart,NEC,0-1,-13.12,94.8,107.9,71.8
321,Howard,MEAC,0-4,-13.18,96.8,110,71.2
322,Denver,Sum,1-3,-13.21,93.5,106.7,72.5
323,New Orleans,Slnd,1-5,-13.22,93.2,106.4,72
324,Cal Poly,BW,2-2,-13.22,92,105.2,72.1
325,Morgan St.,MEAC,2-1,-13.47,91.3,104.8,71.4
326,Cal St. Fullerton,BW,1-0,-13.74,90.1,103.8,72
327,The Citadel,SC,5-0,-13.8,95.4,109.2,76.4
328,McNeese St.,Slnd,3-2,-14.3,96.2,110.5,72.2
329,Southeast Missouri St.,OVC,2-2,-14.37,94.1,108.5,71
330,SIU Edwardsville,OVC,2-4,-14.41,91.1,105.5,71.5
331,Southeastern Louisiana,Slnd,1-5,-14.52,91.5,106.1,73
332,Coppin St.,MEAC,1-5,-14.53,86.8,101.3,76.9
333,Grambling St.,SWAC,1-3,-14.89,87.8,102.7,72.6
334,Northern Arizona,BSky,0-3,-15.14,93,108.2,69.3
335,Tarleton St.,WAC,2-2,-15.19,91.5,106.7,71
336,Tennessee Martin,OVC,1-0,-15.25,96,111.3,71.6
337,Hampton,BSth,1-2,-16.37,92.5,108.9,73.9
338,Central Connecticut,NEC,1-4,-16.75,92.4,109.1,72.7
339,Idaho,BSky,0-4,-17.34,90.5,107.8,70.4
340,Alabama A&M,SWAC,1-0,-17.49,87.7,105.2,71.6
341,Alcorn St.,SWAC,0-1,-17.93,89,106.9,72.5
342,Binghamton,AE,0-3,-18.09,90.3,108.4,70
343,Western Illinois,Sum,1-4,-18.19,91.2,109.4,73
344,Presbyterian,BSth,1-1,-19.01,90.5,109.5,71.8
345,Incarnate Word,Slnd,1-3,-19.2,90.8,110,69.6
346,Holy Cross,Pat,0-0,-19.74,89.8,109.5,71.2
347,Maine,AE,0-0,-20.38,86.1,106.5,69.1
348,Bethune Cookman,MEAC,0-0,-20.66,88.5,109.1,75.2
349,Houston Baptist,Slnd,1-4,-20.83,92.4,113.2,75.1
350,Arkansas Pine Bluff,SWAC,1-6,-21.29,85.4,106.7,71.4
351,Alabama St.,SWAC,0-0,-21.7,84.6,106.3,71.8
352,Kennesaw St.,ASun,3-2,-22.26,85.7,108,70.2
353,Delaware St.,MEAC,0-1,-22.31,87.9,110.2,75.9
354,Maryland Eastern Shore,MEAC,0-0,-25.73,82.3,108,70.7
355,Chicago St.,WAC,0-6,-26.94,86.8,113.8,70.8
356,South Carolina St.,MEAC,0-7,-27.17,84.5,111.7,73.1
357,Mississippi Valley St.,SWAC,0-7,-32.59,83.6,116.2,76.1
