Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
169,Eastern Michigan,MAC,1-2,-1.11,99.7,100.9,69.5,,,,,,,
131,Eastern Washington,BSky,2-4,3.42,103,99.6,73,,,,,,,
206,Elon,CAA,3-1,-4.03,99.1,103.1,67.6,,,,,,,
312,Evansville,MVC,2-4,-12.67,92.7,105.4,64.3,,,,,,,
332,Fairfield,MAAC,1-8,-14.81,88.1,102.9,68.4,,,,,,,
282,Fairleigh Dickinson,NEC,2-6,-10.09,99.3,109.4,72.6,,,,,,,
185,FIU,CUSA,6-2,-2.02,102.6,104.7,73.3,,,,,,,
23,Florida,SEC,3-1,19.35,110,90.7,71.6,,,,,,,
285,Florida A&M,MEAC,1-5,-10.27,93.6,103.9,69.3,,,,,,,
214,Florida Atlantic,CUSA,5-3,-4.9,96.7,101.6,68.5,,,,,,,
233,Florida Gulf Coast,ASun,5-2,-6.07,95.7,101.7,69.2,,,,,,,
26,Florida St.,ACC,5-1,18.73,110,91.3,70.4,,,,,,,
187,Fordham,A10,0-0,-2.12,92.9,95,68,,,,,,,
157,Fresno St.,MWC,2-0,0.67,100.6,99.9,68.3,,,,,,,
70,Furman,SC,6-3,11.25,108.2,97,71.2,,,,,,,
212,Gardner Webb,BSth,1-4,-4.75,98.4,103.1,70.8,,,,,,,
126,George Mason,A10,3-1,3.92,102.8,98.9,68.3,,,,,,,
244,George Washington,A10,1-6,-6.78,99.1,105.8,71.8,,,,,,,
104,Georgetown,BE,3-4,6.52,104.9,98.4,72.3,,,,,,,
83,Georgia,SEC,7-0,9.72,104.4,94.7,74.7,,,,,,,
237,Georgia Southern,SB,6-3,-6.21,97.7,103.9,70.4,,,,,,,
103,Georgia St.,SB,6-1,6.73,106.5,99.8,72.4,,,,,,,
76,Georgia Tech,ACC,4-3,10.37,107.5,97.2,68.1,,,,,,,
2,Gonzaga,WCC,6-0,29.39,118.9,89.5,76.3,,,,,,,
316,Grambling St.,SWAC,2-4,-12.98,91.2,104.2,71.2,,,,,,,
138,Grand Canyon,WAC,4-3,2.3,102.2,99.9,67,,,,,,,
287,Green Bay,Horz,0-6,-10.46,98.1,108.5,70.6,,,,,,,
337,Hampton,BSth,3-4,-15.51,91.6,107.1,74.3,,,,,,,
269,Hartford,AE,5-2,-8.96,95.1,104,68.2,,,,,,,
158,Harvard,Ivy,0-0,0.56,101,100.4,70.4,,,,,,,
234,Hawaii,BW,2-0,-6.12,96.5,102.6,70.6,,,,,,,
261,High Point,BSth,2-5,-8.12,96.4,104.5,71.9,,,,,,,
143,Hofstra,CAA,4-3,2.02,103.8,101.8,69.9,,,,,,,
346,Holy Cross,Pat,0-0,-19.73,90.6,110.3,70.6,,,,,,,
9,Houston,Amer,6-0,22.83,112.5,89.7,67.9,,,,,,,
350,Houston Baptist,Slnd,1-7,-20.77,93.3,114.1,73.8,,,,,,,
318,Howard,MEAC,1-4,-13.16,97.3,110.4,71.7,,,,,,,
341,Idaho,BSky,0-5,-17.75,90.6,108.4,70,,,,,,,
309,Idaho St.,BSky,2-5,-12.19,94.9,107.1,67.7,,,,,,,
11,Illinois,B10,5-3,21.93,114.1,92.2,73.2,,,,,,,
210,Illinois Chicago,Horz,5-2,-4.53,96.3,100.8,69.7,,,,,,,
